,mol_id,atom_index,shift,DFT_shift
19730,20026161,9,194.3,188.30791660124493
19744,20026176,6,95.4,102.78215534811
19786,20026190,6,160.7,150.547125468795
19820,20026205,5,161.9,154.54674815627502
19852,20026259,1,130.2,136.46426687836998
19874,20026269,1,138.5,146.37982093898995
19877,20026271,3,68.0,78.84318035298999
19878,20026271,1,85.5,97.63185830055998
19882,20026277,2,76.4,85.9349142009
19898,20026288,1,127.3,134.873173984885
19904,20026289,5,90.7,101.96500838738498
19906,20026289,1,137.8,144.03488460450495
19929,20026298,2,139.1,145.30549738897
19946,20026309,0,70.1,80.63848750170999
19967,20026312,10,62.8,55.576092486309975
19968,20026312,8,68.3,62.33197941659499
19969,20026312,9,71.9,65.51725789460498
20014,20026330,8,13.4,0.9644277031119975
20015,20026330,7,20.3,1.3106411201159958
20023,20026330,9,120.5,0.9921539620079968
20024,20026331,0,13.8,20.259397094814968
20028,20026331,4,180.7,169.29859447728995
20030,20026343,1,22.7,29.048148504329987
20034,20026343,6,180.5,173.28719945294
20040,20026355,3,122.2,112.38438114774
20041,20026355,0,131.2,141.547201249205
20044,20026357,4,20.5,14.242276736709984
20047,20026357,2,184.0,174.56100157503997
20052,20026363,1,131.7,138.28170609734502
20053,20026363,4,170.3,176.772758901615
20057,20026366,1,128.3,137.34838992943
20105,20026419,6,133.0,139.49201140652997
20118,20026426,3,40.7,48.068488340114975
20119,20026426,7,43.5,50.891342086875
20123,20026426,6,205.6,216.301409549805
20136,20026439,8,27.8,21.77955138756997
20154,20026440,3,94.7,106.01836658168502
20170,20026443,6,51.5,1.168361633675996
20171,20026443,4,85.0,1.5927375634229968
20192,20026452,4,147.5,155.51949613494995
20226,20026472,7,148.9,160.133694520035
20235,20026475,2,139.4,145.86372812168997
20256,20026484,4,46.2,1.2247261994580008
20257,20026484,3,60.0,0.9488316824829964
20258,20026491,2,25.4,18.43065022422496
20261,20026491,0,62.6,51.459624065475
20321,20026515,0,146.6,153.10168826783502
20353,20026520,1,115.7,108.19629760000996
20354,20026520,7,115.7,108.196200953415
20401,20026579,0,106.3,98.79606318393
20442,20026588,8,121.1,129.21151980319
20458,20026590,8,121.5,114.49456290297
20467,20026590,7,145.6,151.915254667615
20470,20026590,9,170.3,163.77379187411498
20491,20026600,8,138.0,150.08128888089502
20494,20026600,6,178.5,171.616469765175
20501,20026632,8,19.4,5.877721430040996
20506,20026632,5,71.6,82.43669404827997
20513,20026634,6,69.8,80.92717088097498
20521,20026638,6,73.5,7.455108428745997
20535,20026639,0,54.2,60.89426466937499
20538,20026645,6,52.4,173.34151483933
20550,20026657,5,179.3,171.452170553675
20558,20026667,3,29.3,35.70642237366499
20560,20026667,4,101.5,118.63838231019
20561,20026667,5,108.6,116.47446504814
20587,20026708,5,124.6,118.11939009504
20588,20026708,12,131.3,141.96200843494498
20591,20026708,4,151.0,161.47331297333
20592,20026708,1,184.3,178.06424735060003
20593,20026708,0,187.4,173.825617633685
20620,20026822,7,31.1,41.208223087229975
20657,20026840,7,124.4,130.84446067231002
20669,20026842,7,134.3,141.16341762046002
20676,20026850,3,31.9,153.69848099196
20745,20027236,15,109.5,1.0310072063819966
20747,20027236,11,115.1,2.062077459076999
20749,20027236,13,128.8,1.683212724030998
20750,20027236,12,145.1,1.6632388730499983
20752,20027236,14,148.2,2.197425380792996
20753,20027236,10,167.2,2.665853228456996
20758,20027320,3,111.3,117.911309976005
20759,20027320,4,123.2,114.52133400978498
20762,20027320,2,164.5,157.87342060276995
20767,20027323,7,120.9,114.27478854593998
20785,20027354,4,124.1,140.917258742995
20805,20027367,11,84.2,95.19617081336996
20806,20027367,8,114.3,100.407451862365
20814,20027367,7,152.3,165.066536728835
20815,20027367,9,162.9,153.88984125006002
20816,20027367,10,163.3,155.09550752268498
20848,20027380,8,36.2,7.158419217598998
20858,20027381,2,144.3,154.79831924305995
20873,20027506,9,113.8,121.01492208123994
20874,20027506,3,116.6,127.62342295415002
20886,20027506,6,162.5,155.96667993001498
20887,20027506,7,168.2,160.860476914435
20900,20027510,8,164.4,156.8367892248
20916,20027514,8,163.8,172.47933056533498
20918,20027550,9,18.8,1.114733211863996
20919,20027550,8,19.2,1.4842950574119982
20922,20027550,0,36.1,42.71204410542998
21045,20028175,6,112.2,105.87330004259
21104,20028184,2,107.7,100.61446886885498
21121,20028216,10,15.8,1.5713956404569984
21136,20028227,3,98.7,109.90365634728
21140,20028227,0,126.1,135.31513886381998
21147,20028228,14,55.4,5.376459854737001
21199,20028235,1,110.9,123.215661695985
21219,20028237,10,129.6,3.2678961066559964
21223,20028237,9,134.1,7.789191607482997
21228,20028238,1,40.8,33.70168205357999
21236,20028240,0,167.3,156.51717893513495
21245,20028249,4,113.6,122.02487899898998
21269,20028262,19,15.2,2.503782300633997
21270,20028262,17,15.7,2.3426234208009973
21271,20028262,18,16.9,1.4897673453519964
21272,20028262,21,20.8,1.916149780677
21277,20028262,6,37.7,28.195435596644984
21279,20028262,16,58.1,1.7494274081049994
21286,20028262,2,127.3,142.780218508215
21288,20028262,1,139.0,129.19296365694998
21290,20028262,20,170.9,24.137245072595
21292,20028552,8,14.2,1.3096378673269982
21307,20028560,7,14.0,3.306019712637997
21311,20028560,6,60.4,3.4834130466929984
21314,20028560,5,170.5,3.3885600557329987
21316,20028583,13,16.9,1.7841764365239996
21318,20028583,6,19.9,53.98142366880997
21319,20028583,18,21.2,1.4215461556999962
21320,20028583,12,23.3,1.3739372506219991
21329,20028583,11,137.6,2.4638345986719976
21330,20028583,10,162.5,1.8851401490169977
21335,20030035,6,28.3,1.6190045455349988
21336,20030035,8,28.9,1.208582950034998
21337,20030035,7,29.1,1.4329467555749955
21339,20030035,13,31.6,3.6294319298919966
21352,20030408,11,15.0,1.0776128586709994
21353,20030408,17,21.0,2.647156244662
21358,20030408,10,70.4,1.3231361775789952
21359,20030408,9,71.2,1.2664979973999984
21368,20030408,16,170.2,2.266285004038
21377,20030783,2,132.4,124.34285093347
21384,20030879,0,116.3,109.125747904125
21406,20030908,0,81.8,97.452772160025
21444,20031156,6,153.7,161.43407445576
21468,20031172,1,131.5,122.45350664781498
21469,20031172,2,141.1,152.30966942181
21505,20031202,2,150.0,143.66569461160498
21529,20031216,6,153.2,168.902826670765
21536,20031218,1,197.4,203.88686448227
21574,20031230,0,121.0,131.27154197561498
21577,20031230,2,160.2,166.59799867320498
21606,20031246,0,161.8,186.38812863816503
21607,20031246,5,173.4,161.461425442145
21627,20031261,1,104.2,98.28866856018
21641,20031533,1,148.9,158.58019715200496
21659,20032288,5,129.6,123.25035782359
21662,20032288,2,133.8,141.515501166045
21664,20032288,4,139.8,146.18865397407998
21674,20032300,2,113.6,122.646026665055
21675,20032300,4,116.6,124.92630642748496
21678,20032300,1,137.3,131.3781431699
21679,20032300,0,148.3,155.00108379936995
21697,20032315,17,16.1,163.81177398594997
21712,20032315,7,134.1,1.1588763345799968
21713,20032315,6,167.6,2.343353059192996
21717,20032318,5,130.1,136.30267377152998
21739,20032338,7,15.4,24.468259660469982
21741,20032338,1,125.4,139.15084892617998
21742,20032338,3,128.3,134.494512625675
21790,20032350,15,41.2,8.306049203416
21792,20032350,14,69.4,6.285498086369997
21794,20032350,13,88.4,8.761890788818
21803,20032366,24,27.4,20.69604641102501
21823,20032372,10,68.0,76.92252257055497
21831,20032374,0,69.8,80.54744640921999
21833,20032374,1,190.3,198.097830088365
21881,20032413,3,117.9,110.573513897225
21895,20032656,1,114.1,105.23813862024998
21912,20032658,4,108.7,102.05286014224
21933,20032674,13,171.7,163.61616127767
21969,20032693,6,173.0,166.84821670766
21978,20032694,3,136.0,142.510961094545
21987,20032707,0,118.5,112.53089738576
21992,20032707,9,129.6,117.36941251784
22030,20032736,6,180.0,172.73824679333995
22061,20032744,7,131.45,138.32461718552497
22067,20032763,2,109.3,117.44605326767498
22075,20032764,1,119.6,112.55844166533498
22099,20033037,7,50.7,56.868933987625
22109,20033065,0,108.2,117.367576232535
22119,20033067,2,121.6,115.430971761925
22122,20033067,0,154.6,143.41412352481996
22124,20033067,8,180.3,172.073994745905
22158,20033121,7,22.2,13.049464461219998
22168,20033122,7,19.6,12.035931619455
22169,20033122,6,36.6,44.131879232575
22208,20035460,8,169.2,163.09958522739495
22300,20035568,6,42.6,35.108856476779984
22302,20035568,3,111.1,102.041359197435
22339,20035848,9,54.6,46.63647574199999
22347,20035859,9,14.4,0.9046885597669956
22348,20035859,5,20.7,39.262050603714975
22349,20035859,8,20.7,1.234302703352995
22350,20035859,0,28.0,35.06352922372497
22352,20035859,4,33.0,52.00954319102496
